id,firstName,age,city,bio,interests,photo,subscription,email,dailyFlashesUsed,lastFlashReset,isTestProfile,createdAt
1,"",50,"",,[],https://randomuser.me/api/portraits/men/98.jpg,gratuit,,0,2025-06-29 18:48:04.055618,f,2025-06-29 18:48:04.055618
52,"",50,"","",[],https://randomuser.me/api/portraits/men/13.jpg,gratuit,,0,2025-06-29 18:54:08.541998,f,2025-06-29 18:54:08.541998
53,Marie,74,Nantes,"Sportive dans l'âme, je maintiens ma forme et cherche un partenaire actif.","[""Cinéma"",""Randonnée"",""Jardinage""]",https://randomuser.me/api/portraits/women/8.jpg,premium,marie74@example.com,0,2025-06-29 18:56:20.801834,t,2025-06-29 18:56:20.801834
54,Françoise,68,Strasbourg,"Artiste amateur, je peins et dessine pour exprimer ma créativité.","[""Natation"",""Photographie"",""Bénévolat""]",https://randomuser.me/api/portraits/women/76.jpg,gratuit,françoise68@example.com,0,2025-06-29 18:56:20.916647,t,2025-06-29 18:56:20.916647
55,Nicole,53,Boulogne-Billancourt,"Amoureuse de la nature, je profite de ma retraite pour découvrir de nouveaux horizons.","[""Lecture"",""Natation""]",https://randomuser.me/api/portraits/women/56.jpg,premium,nicole53@example.com,0,2025-06-29 18:56:21.022531,t,2025-06-29 18:56:21.022531
56,Sylvie,70,Rennes,"Retraité actif, je partage mon temps entre mes petits-enfants et mes passions.","[""Art"",""Photographie""]",https://randomuser.me/api/portraits/women/1.jpg,gratuit,sylvie70@example.com,0,2025-06-29 18:56:21.126881,t,2025-06-29 18:56:21.126881
57,Catherine,63,Le Havre,"Sportive dans l'âme, je maintiens ma forme et cherche un partenaire actif.","[""Jardinage"",""Théâtre"",""Natation""]",https://randomuser.me/api/portraits/women/99.jpg,premium,catherine63@example.com,0,2025-06-29 18:56:21.232233,t,2025-06-29 18:56:21.232233
58,Christine,51,Toulon,"Artiste amateur, je peins et dessine pour exprimer ma créativité.","[""Jardinage"",""Cinéma""]",https://randomuser.me/api/portraits/women/36.jpg,gold,christine51@example.com,0,2025-06-29 18:56:21.338214,t,2025-06-29 18:56:21.338214
59,Brigitte,61,Saint-Étienne,"Ex-cadre d'entreprise, je savoure enfin le temps libre pour mes loisirs favoris.","[""Art"",""Yoga"",""Natation""]",https://randomuser.me/api/portraits/women/50.jpg,gold,brigitte61@example.com,0,2025-06-29 18:56:21.449338,t,2025-06-29 18:56:21.449338
60,Martine,69,Villeurbanne,"Veuve depuis peu, je souhaite retrouver la joie de partager avec quelqu'un de spécial.","[""Bridge"",""Tricot"",""Danse""]",https://randomuser.me/api/portraits/women/80.jpg,gratuit,martine69@example.com,0,2025-06-29 18:56:21.554821,t,2025-06-29 18:56:21.554821
61,Monique,64,Dijon,"Épicurien dans l'âme, j'apprécie les plaisirs simples de la vie.","[""Randonnée"",""Cyclisme"",""Tricot"",""Cuisine""]",https://randomuser.me/api/portraits/women/8.jpg,gold,monique64@example.com,0,2025-06-29 18:56:21.65883,t,2025-06-29 18:56:21.65883
62,Jacqueline,60,Nantes,"Veuve depuis peu, je souhaite retrouver la joie de partager avec quelqu'un de spécial.","[""Yoga"",""Cinéma"",""Lecture"",""Histoire""]",https://randomuser.me/api/portraits/women/12.jpg,gold,jacqueline60@example.com,0,2025-06-29 18:56:21.764018,t,2025-06-29 18:56:21.764018
63,Danielle,71,Le Havre,"Grand-père comblé, je cherche une compagne pour profiter pleinement de la retraite.","[""Photographie"",""Tricot""]",https://randomuser.me/api/portraits/women/32.jpg,premium,danielle71@example.com,0,2025-06-29 18:56:21.869412,t,2025-06-29 18:56:21.869412
64,Annie,71,Marseille,"Retraité actif, je partage mon temps entre mes petits-enfants et mes passions.","[""Art"",""Jardinage"",""Cuisine"",""Histoire""]",https://randomuser.me/api/portraits/women/90.jpg,gratuit,annie71@example.com,0,2025-06-29 18:56:21.975203,t,2025-06-29 18:56:21.975203
65,Colette,59,Angers,"Ancien professeur, je cultive ma curiosité à travers les voyages et la lecture.","[""Cinéma"",""Cyclisme"",""Natation"",""Marche""]",https://randomuser.me/api/portraits/women/65.jpg,gratuit,colette59@example.com,0,2025-06-29 18:56:22.080795,t,2025-06-29 18:56:22.080795
66,Simone,65,Amiens,"Ancien professeur, je cultive ma curiosité à travers les voyages et la lecture.","[""Yoga"",""Bricolage""]",https://randomuser.me/api/portraits/women/37.jpg,gratuit,simone65@example.com,0,2025-06-29 18:56:22.186148,t,2025-06-29 18:56:22.186148
67,Michèle,75,Besançon,"Veuve depuis peu, je souhaite retrouver la joie de partager avec quelqu'un de spécial.","[""Histoire"",""Musique""]",https://randomuser.me/api/portraits/women/95.jpg,gold,michèle75@example.com,0,2025-06-29 18:56:22.292037,t,2025-06-29 18:56:22.292037
